# x  y  peak_value  net_flux  bg_per_pixel  magnitude  mag_error
719 239 3453.00 415.39 3430.37 18.7539 0.0200
75 293 3453.00 197.76 3421.48 19.5597 0.0200
469 377 3453.00 498.38 3419.75 18.5561 0.0200
908 395 3453.00 174.87 3424.18 19.6932 0.0200
154 464 3453.00 436.17 3423.20 18.7009 0.0200
578 465 3453.00 205.76 3424.48 19.5166 0.0200
224 576 3453.00 112.45 3429.35 20.1726 0.0200
412 576 3453.00 157.31 3423.28 19.8081 0.0200
680 600 3453.00 263.01 3421.46 19.2501 0.0200
275 616 3453.00 186.97 3425.85 19.6206 0.0200
468 18 3452.00 90.38 3426.74 20.4098 0.0200
219 98 3452.00 668.15 3426.00 18.2378 0.0200
487 146 3452.00 220.92 3425.16 19.4394 0.0200
37 354 3452.00 184.50 3426.50 19.6350 0.0200
202 428 3452.00 163.25 3427.75 19.7679 0.0200
185 598 3452.00 194.82 3424.86 19.5759 0.0200
283 648 3452.00 111.06 3427.16 20.1861 0.0200
14 26 3451.00 145.44 3426.12 19.8933 0.0200
131 95 3451.00 188.31 3425.13 19.6128 0.0200
838 139 3451.00 204.34 3424.82 19.5241 0.0200
115 522 3451.00 269.36 3431.19 19.2241 0.0200
328 31 3450.00 260.01 3427.69 19.2625 0.0200
829 173 3450.00 238.15 3424.99 19.3579 0.0200
332 175 3450.00 140.02 3428.54 19.9345 0.0200
300 229 3450.00 447.63 3422.84 18.6727 0.0200
307 253 3450.00 406.10 3421.79 18.7784 0.0200
832 383 3450.00 193.65 3421.95 19.5825 0.0200
595 392 3450.00 201.11 3424.61 19.5414 0.0200
838 483 3450.00 215.76 3421.33 19.4651 0.0200
302 517 3450.00 242.99 3426.54 19.3360 0.0200
89 530 3450.00 171.80 3425.40 19.7124 0.0200
654 573 3450.00 160.48 3428.12 19.7865 0.0200
1 641 3450.00 163.48 3424.21 19.7663 0.0200
137 290 3449.00 188.98 3428.85 19.6090 0.0200
373 349 3449.00 156.47 3423.81 19.8139 0.0200
664 42 3448.00 217.93 3423.39 19.4542 0.0200
837 62 3448.00 221.61 3423.03 19.4360 0.0200
